rel. 1/cm,CCD cts
 1.118390254E+03, 6.392000122E+02
 1.118947914E+03, 6.410000000E+02
 1.119505516E+03, 6.432000122E+02
 1.120063061E+03, 6.395999756E+02
 1.120620548E+03, 6.404000244E+02
 1.121177978E+03, 6.395999756E+02
 1.121735350E+03, 6.430000000E+02
 1.122292664E+03, 6.417999878E+02
 1.122849921E+03, 6.414000244E+02
 1.123407120E+03, 6.425999756E+02
 1.123964261E+03, 6.437999878E+02
 1.124521345E+03, 6.405999756E+02
 1.125078371E+03, 6.432000122E+02
 1.125635339E+03, 6.387999878E+02
 1.126192250E+03, 6.424000244E+02
 1.126749103E+03, 6.427999878E+02
 1.127305898E+03, 6.445999756E+02
 1.127862636E+03, 6.424000244E+02
 1.128419316E+03, 6.412000122E+02
 1.128975939E+03, 6.410000000E+02
 1.129532504E+03, 6.397999878E+02
 1.130089012E+03, 6.384000244E+02
 1.130645461E+03, 6.425999756E+02
 1.131201854E+03, 6.384000244E+02
 1.131758188E+03, 6.424000244E+02
 1.132314465E+03, 6.444000244E+02
 1.132870685E+03, 6.405999756E+02
 1.133426847E+03, 6.407999878E+02
 1.133982951E+03, 6.422000122E+02
 1.134538998E+03, 6.404000244E+02
 1.135094987E+03, 6.417999878E+02
 1.135650919E+03, 6.420000000E+02
 1.136206793E+03, 6.417999878E+02
 1.136762610E+03, 6.455999756E+02
 1.137318369E+03, 6.375999756E+02
 1.137874070E+03, 6.400000000E+02
 1.138429714E+03, 6.412000122E+02
 1.138985301E+03, 6.405999756E+02
 1.139540830E+03, 6.390000000E+02
 1.140096301E+03, 6.410000000E+02
 1.140651715E+03, 6.422000122E+02
 1.141207071E+03, 6.424000244E+02
 1.141762370E+03, 6.382000122E+02
 1.142317611E+03, 6.427999878E+02
 1.142872795E+03, 6.402000122E+02
 1.143427921E+03, 6.402000122E+02
 1.143982990E+03, 6.410000000E+02
 1.144538002E+03, 6.414000244E+02
 1.145092955E+03, 6.407999878E+02
 1.145647852E+03, 6.395999756E+02
 1.146202691E+03, 6.435999756E+02
 1.146757472E+03, 6.424000244E+02
 1.147312196E+03, 6.430000000E+02
 1.147866862E+03, 6.405999756E+02
 1.148421471E+03, 6.422000122E+02
 1.148976023E+03, 6.430000000E+02
 1.149530517E+03, 6.405999756E+02
 1.150084954E+03, 6.395999756E+02
 1.150639333E+03, 6.412000122E+02
 1.151193655E+03, 6.427999878E+02
 1.151747919E+03, 6.400000000E+02
 1.152302126E+03, 6.430000000E+02
 1.152856275E+03, 6.400000000E+02
 1.153410368E+03, 6.424000244E+02
 1.153964402E+03, 6.402000122E+02
 1.154518379E+03, 6.385999756E+02
 1.155072299E+03, 6.424000244E+02
 1.155626162E+03, 6.410000000E+02
 1.156179967E+03, 6.407999878E+02
 1.156733714E+03, 6.390000000E+02
 1.157287404E+03, 6.400000000E+02
 1.157841037E+03, 6.415999756E+02
 1.158394613E+03, 6.390000000E+02
 1.158948131E+03, 6.390000000E+02
 1.159501591E+03, 6.407999878E+02
 1.160054995E+03, 6.417999878E+02
 1.160608341E+03, 6.407999878E+02
 1.161161629E+03, 6.425999756E+02
 1.161714860E+03, 6.415999756E+02
 1.162268034E+03, 6.387999878E+02
 1.162821151E+03, 6.430000000E+02
 1.163374210E+03, 6.390000000E+02
 1.163927212E+03, 6.405999756E+02
 1.164480156E+03, 6.435999756E+02
 1.165033043E+03, 6.412000122E+02
 1.165585873E+03, 6.397999878E+02
 1.166138646E+03, 6.422000122E+02
 1.166691361E+03, 6.390000000E+02
 1.167244019E+03, 6.395999756E+02
 1.167796619E+03, 6.410000000E+02
 1.168349162E+03, 6.430000000E+02
 1.168901648E+03, 6.410000000E+02
 1.169454077E+03, 6.425999756E+02
 1.170006448E+03, 6.422000122E+02
 1.170558762E+03, 6.417999878E+02
 1.171111019E+03, 6.440000000E+02
 1.171663218E+03, 6.532000122E+02
 1.172215361E+03, 6.404000244E+02
 1.172767445E+03, 6.390000000E+02
 1.173319473E+03, 6.400000000E+02
 1.173871443E+03, 6.417999878E+02
 1.174423356E+03, 6.437999878E+02
 1.174975212E+03, 6.394000244E+02
 1.175527011E+03, 6.404000244E+02
 1.176078752E+03, 6.425999756E+02
 1.176630436E+03, 6.390000000E+02
 1.177182063E+03, 6.394000244E+02
 1.177733633E+03, 6.422000122E+02
 1.178285145E+03, 6.387999878E+02
 1.178836600E+03, 6.417999878E+02
 1.179387998E+03, 6.392000122E+02
 1.179939339E+03, 6.417999878E+02
 1.180490622E+03, 6.434000244E+02
 1.181041848E+03, 6.405999756E+02
 1.181593017E+03, 6.397999878E+02
 1.182144129E+03, 6.392000122E+02
 1.182695184E+03, 6.394000244E+02
 1.183246181E+03, 6.394000244E+02
 1.183797122E+03, 6.382000122E+02
 1.184348005E+03, 6.432000122E+02
 1.184898831E+03, 6.397999878E+02
 1.185449599E+03, 6.400000000E+02
 1.186000311E+03, 6.444000244E+02
 1.186550965E+03, 6.400000000E+02
 1.187101562E+03, 6.444000244E+02
 1.187652102E+03, 6.404000244E+02
 1.188202585E+03, 6.397999878E+02
 1.188753011E+03, 6.420000000E+02
 1.189303379E+03, 6.374000244E+02
