X-Axis	BL1_MI1_H2O_quant
 3.573516736E+02	 2.578800049E+03
 3.621699494E+02	 2.576699951E+03
 3.669857577E+02	 2.604500000E+03
 3.717990992E+02	 2.627500000E+03
 3.766099749E+02	 2.628000000E+03
 3.814183855E+02	 2.637000000E+03
 3.862243319E+02	 2.638100098E+03
 3.910278150E+02	 2.657399902E+03
 3.958288355E+02	 2.671399902E+03
 4.006273945E+02	 2.702600098E+03
 4.054234927E+02	 2.702800049E+03
 4.102171310E+02	 2.728600098E+03
 4.150083103E+02	 2.736199951E+03
 4.197970316E+02	 2.764800049E+03
 4.245832956E+02	 2.760000000E+03
 4.293671033E+02	 2.780600098E+03
 4.341484557E+02	 2.795800049E+03
 4.389273536E+02	 2.806100098E+03
 4.437037979E+02	 2.822300049E+03
 4.484777896E+02	 2.808300049E+03
 4.532493296E+02	 2.801000000E+03
 4.580184188E+02	 2.817600098E+03
 4.627850582E+02	 2.806399902E+03
 4.675492487E+02	 2.820899902E+03
 4.723109913E+02	 2.826399902E+03
 4.770702869E+02	 2.838600098E+03
 4.818271365E+02	 2.831800049E+03
 4.865815411E+02	 2.826500000E+03
 4.913335016E+02	 2.851500000E+03
 4.960830191E+02	 2.848899902E+03
 5.008300944E+02	 2.840000000E+03
 5.055747286E+02	 2.833100098E+03
 5.103169227E+02	 2.816199951E+03
 5.150566777E+02	 2.788399902E+03
 5.197939945E+02	 2.730800049E+03
 5.245288743E+02	 2.698800049E+03
 5.292613180E+02	 2.622199951E+03
 5.339913266E+02	 2.585699951E+03
 5.387189012E+02	 2.545399902E+03
 5.434440427E+02	 2.492100098E+03
 5.481667523E+02	 2.456800049E+03
 5.528870309E+02	 2.399600098E+03
 5.576048796E+02	 2.357899902E+03
 5.623202995E+02	 2.338300049E+03
 5.670332916E+02	 2.287000000E+03
 5.717438570E+02	 2.290500000E+03
 5.764519967E+02	 2.274300049E+03
 5.811577118E+02	 2.258500000E+03
 5.858610033E+02	 2.233699951E+03
 5.905618725E+02	 2.200899902E+03
 5.952603202E+02	 2.152399902E+03
 5.999563477E+02	 2.120100098E+03
 6.046499559E+02	 2.064399902E+03
 6.093411461E+02	 2.051699951E+03
 6.140299193E+02	 1.996699951E+03
 6.187162766E+02	 1.960800049E+03
 6.234002191E+02	 1.927500000E+03
 6.280817479E+02	 1.905400024E+03
 6.327608642E+02	 1.880900024E+03
 6.374375690E+02	 1.858199951E+03
 6.421118636E+02	 1.845500000E+03
 6.467837489E+02	 1.846199951E+03
 6.514532263E+02	 1.825599976E+03
 6.561202967E+02	 1.815699951E+03
 6.607849614E+02	 1.821400024E+03
