X-Axis	CC7_MI3_H2O
 8.179605532E+02	 1.883500000E+03
 8.225417664E+02	 2.153300049E+03
 8.271206175E+02	 2.334699951E+03
 8.316971078E+02	 2.216899902E+03
 8.362712385E+02	 2.008500000E+03
 8.408430111E+02	 1.941699951E+03
 8.454124266E+02	 1.999500000E+03
 8.499794864E+02	 2.215600098E+03
 8.545441919E+02	 2.581000000E+03
 8.591065442E+02	 2.788300049E+03
 8.636665448E+02	 2.577100098E+03
 8.682241949E+02	 2.228600098E+03
 8.727794957E+02	 1.971500000E+03
 8.773324487E+02	 1.870400024E+03
 8.818830551E+02	 1.834900024E+03
 8.864313162E+02	 1.822800049E+03
 8.909772334E+02	 1.790099976E+03
 8.955208079E+02	 1.754800049E+03
 9.000620411E+02	 1.742199951E+03
 9.046009344E+02	 1.753800049E+03
 9.091374889E+02	 1.768199951E+03
 9.136717061E+02	 1.773900024E+03
 9.182035873E+02	 1.816300049E+03
 9.227331339E+02	 1.840099976E+03
 9.272603471E+02	 1.840800049E+03
 9.317852282E+02	 1.816900024E+03
 9.363077788E+02	 1.816300049E+03
 9.408280000E+02	 1.828400024E+03
 9.453458932E+02	 1.854400024E+03
 9.498614598E+02	 1.876800049E+03
 9.543747012E+02	 1.916500000E+03
 9.588856186E+02	 1.964099976E+03
 9.633942135E+02	 1.970099976E+03
 9.679004872E+02	 1.953500000E+03
 9.724044410E+02	 1.923199951E+03
 9.769060763E+02	 1.914900024E+03
 9.814053946E+02	 1.880199951E+03
 9.859023970E+02	 1.879800049E+03
 9.903970852E+02	 1.871900024E+03
 9.948894603E+02	 1.889000000E+03
 9.993795238E+02	 1.864000000E+03
 1.003867277E+03	 1.863000000E+03
 1.008352721E+03	 1.857900024E+03
 1.012835858E+03	 1.830400024E+03
 1.017316689E+03	 1.825699951E+03
 1.021795215E+03	 1.804599976E+03
 1.026271438E+03	 1.785599976E+03
 1.030745358E+03	 1.761699951E+03
 1.035216979E+03	 1.758099976E+03
 1.039686300E+03	 1.726000000E+03
 1.044153323E+03	 1.722599976E+03
 1.048618050E+03	 1.696599976E+03
 1.053080482E+03	 1.670400024E+03
 1.057540620E+03	 1.650400024E+03
 1.061998466E+03	 1.619599976E+03
 1.066454022E+03	 1.606099976E+03
 1.070907288E+03	 1.577500000E+03
 1.075358266E+03	 1.552500000E+03
