,pressure,mean,std,variance
0,115.546875,,,
1,115.43221346346347,,,
2,115.31755192692692,,,
3,115.2028903903904,,,
4,115.08822885385385,,,
5,114.97356731731732,,,
6,114.85890578078079,,,
7,114.74424424424424,,,
8,114.62958270770771,,,
9,114.51492117117117,,,
10,114.40025963463464,,,
11,114.28559809809809,,,
12,114.17093656156156,,,
13,114.05627502502503,,,
14,113.94161348848849,,,
15,113.82695195195195,,,
16,113.71229041541541,,,
17,113.59762887887888,,,
18,113.48296734234235,,,
19,113.3683058058058,,,
20,113.25364426926927,,,
21,113.13898273273273,,,
22,113.0243211961962,,,
23,112.90965965965967,,,
24,112.79499812312312,,,
25,112.68033658658659,,,
26,112.56567505005005,,,
27,112.45101351351352,,,
28,112.33635197697697,,,
29,112.22169044044044,,,
30,112.10702890390391,,,
31,111.99236736736736,,,
32,111.87770583083083,,,
33,111.76304429429429,,,
34,111.64838275775776,,,
35,111.53372122122123,,,
36,111.41905968468468,,,
37,111.30439814814815,,,
38,111.18973661161161,,,
39,111.07507507507508,,,
40,110.96041353853855,,,
41,110.845752002002,,,
42,110.73109046546547,,,
43,110.61642892892893,,,
44,110.5017673923924,,,
45,110.38710585585585,,,
46,110.27244431931932,,,
47,110.15778278278279,,,
48,110.04312124624624,,,
49,109.92845970970971,,,
50,109.81379817317317,,,
51,109.69913663663664,,,
52,109.5844751001001,,,
53,109.46981356356356,,,
54,109.35515202702703,,,
55,109.24049049049049,,,
56,109.12582895395396,,,
57,109.01116741741741,,,
58,108.89650588088088,,,
59,108.78184434434435,,,
60,108.6671828078078,,,
61,108.55252127127127,,,
62,108.43785973473473,,,
63,108.3231981981982,,,
64,108.20853666166167,,,
65,108.09387512512512,,,
66,107.97921358858859,,,
67,107.86455205205205,,,
68,107.74989051551552,,,
69,107.63522897897897,,,
70,107.52056744244244,,,
71,107.40590590590591,,,
72,107.29124436936937,,,
73,107.17658283283284,,,
74,107.06192129629629,,,
75,106.94725975975976,,,
76,106.83259822322323,,,
77,106.71793668668668,,,
78,106.60327515015015,,,
79,106.48861361361361,,,
80,106.37395207707708,,,
81,106.25929054054055,,,
82,106.144629004004,,,
83,106.02996746746747,,,
84,105.91530593093093,,,
85,105.8006443943944,,,
86,105.68598285785785,,,
87,105.57132132132132,,,
88,105.45665978478479,,,
89,105.34199824824825,,,
90,105.22733671171171,,,
91,105.11267517517517,,,
92,104.99801363863864,,,
93,104.88335210210211,,,
94,104.76869056556556,,,
95,104.65402902902903,,,
96,104.53936749249249,,,
97,104.42470595595596,,,
98,104.31004441941943,,,
99,104.19538288288288,,,
100,104.08072134634635,,,
101,103.9660598098098,,,
102,103.85139827327328,,,
103,103.73673673673673,,,
104,103.6220752002002,,,
105,103.50741366366367,,,
106,103.39275212712712,,,
107,103.2780905905906,,,
108,103.16342905405405,,,
109,103.04876751751752,,,
110,102.93410598098097,,,
111,102.81944444444444,,,
112,102.70478290790791,,,
113,102.59012137137137,,,
114,102.47545983483484,,,
115,102.3607982982983,,,
116,102.24613676176176,,,
117,102.13147522522523,,,
118,102.01681368868869,,,
119,101.90215215215215,,,
120,101.78749061561561,,,
121,101.67282907907908,,,
122,101.55816754254255,,,
123,101.443506006006,,,
124,101.32884446946947,,,
