SN:0141335,,
Time/s,Pressure/MPa,Temperature/°C
639.00,63.5399,32.0
642.00,63.5411,32.0
645.00,63.5415,32.0
648.00,63.5428,32.0
651.00,63.5440,32.0
654.00,63.5457,32.0
657.00,63.5468,32.0
660.00,63.5471,32.0
663.00,63.5469,32.0
666.00,63.5464,32.0
669.00,63.5473,32.0
672.00,63.5477,32.0
675.00,63.5469,32.0
678.00,63.5468,32.0
681.00,63.5469,32.0
684.00,63.5477,32.0
687.00,63.5480,32.0
690.00,63.5484,32.0
693.00,63.5489,32.0
695.99,63.5492,32.0
698.99,63.5507,32.0
701.99,63.5522,32.0
704.99,63.5528,32.0
708.00,63.5539,32.0
711.00,63.5542,32.0
714.00,63.5542,32.0
716.99,63.5542,32.0
720.00,63.5550,32.0
722.99,63.5556,32.0
725.99,63.5565,32.0
728.99,63.5562,32.1
731.99,63.5561,32.1
734.99,63.5563,32.1
737.99,63.5572,32.1
740.99,63.5572,32.1
743.99,63.5568,32.1
746.99,63.5576,32.1
749.99,63.5591,32.1
752.99,63.5604,32.1
755.99,63.5610,32.1
759.00,63.5617,32.1
762.00,63.5610,32.1
764.99,63.5615,32.1
767.99,63.5617,32.1
770.99,63.5624,32.1
773.99,63.5636,32.1
776.99,63.5657,32.1
779.99,63.5667,32.1
782.99,63.5679,32.1
785.99,63.5696,32.1
788.99,63.5688,32.1
791.99,63.5690,32.1
794.99,63.5669,32.1
797.99,63.5657,32.1
800.99,63.5629,32.1
803.99,63.5621,32.1
806.99,63.5598,32.1
809.99,63.5573,32.1
812.99,63.5544,32.1
815.99,63.5517,32.1
818.99,63.5504,32.1
821.99,63.5487,32.1
824.99,63.5471,32.1
827.99,63.5467,32.1
830.99,63.5468,32.1
833.99,63.5469,32.1
836.99,63.5456,32.1
839.99,63.5444,32.1
842.99,63.5440,32.1
845.99,63.5436,32.1
848.99,63.5431,32.1
851.99,63.5435,32.2
854.99,63.5435,32.2
857.99,63.5427,32.2
860.99,63.5416,32.2
863.99,63.5410,32.2
866.99,63.5409,32.2
869.99,63.5396,32.2
872.99,63.5376,32.2
875.99,63.5362,32.2
878.99,63.5341,32.2
881.99,63.5310,32.2
884.99,63.5279,32.2
887.99,63.5261,32.2
890.99,63.5239,32.2
893.99,63.5211,32.2
896.99,63.5184,32.2
899.99,63.5159,32.2
902.99,63.5130,32.2
905.99,63.5100,32.2
908.99,63.5087,32.2
911.99,63.5065,32.2
914.99,63.5044,32.2
917.99,63.5022,32.2
920.99,63.5000,32.2
923.99,63.4979,32.2
926.99,63.4955,32.2
929.99,63.4942,32.2
932.99,63.4931,32.2
935.99,63.4927,32.2
938.99,63.4916,32.2
941.98,63.4925,32.2
944.99,63.4920,32.3
947.99,63.4919,32.3
950.99,63.4925,32.3
953.98,63.4941,32.3
956.98,63.4956,32.3
959.98,63.4968,32.3
962.99,63.4965,32.3
965.98,63.4965,32.3
968.98,63.4962,32.3
971.99,63.4964,32.3
974.98,63.4966,32.3
977.98,63.4960,32.3
980.99,63.4949,32.3
983.99,63.4925,32.3
986.99,63.4910,32.3
989.98,63.4894,32.3
992.98,63.4877,32.3
995.98,63.4859,32.3
998.99,63.4844,32.3
1001.98,63.4817,32.3
1004.98,63.4792,32.3
1007.98,63.4764,32.3
1010.98,63.4731,32.3
1013.98,63.4701,32.3
1016.98,63.4678,32.3
1019.99,63.4644,32.3
1022.99,63.4624,32.3
1025.99,63.4603,32.3
1028.99,63.4577,32.3
1031.98,63.4553,32.3
1034.99,63.4536,32.3
1037.99,63.4516,32.3
1040.99,63.4512,32.3
1043.99,63.4518,32.3
1046.99,63.4517,32.3
1049.99,63.4531,32.3
1052.98,63.4528,32.3
1055.98,63.4531,32.3
1058.98,63.4537,32.3
1061.98,63.4524,32.3
1064.98,63.4512,32.3
1067.98,63.4513,32.3
1070.98,63.4513,32.3
1073.98,63.4508,32.3
1076.98,63.4502,32.3
1079.98,63.4501,32.3
1082.98,63.4498,32.3
1085.98,63.4500,32.3
1088.98,63.4493,32.3
1091.98,63.4482,32.3
1094.98,63.4478,32.3
1097.98,63.4480,32.3
1100.98,63.4471,32.3
1103.98,63.4475,32.3
1106.98,63.4467,32.3
1109.98,63.4464,32.3
1112.98,63.4471,32.3
1115.98,63.4461,32.3
1118.98,63.4466,32.3
1121.98,63.4471,32.3
1124.98,63.4467,32.3
1127.98,63.4454,32.3
1130.98,63.4443,32.3
1133.98,63.4443,32.3
1136.98,63.4439,32.3
1139.98,63.4449,32.3
1142.98,63.4471,32.3
1145.98,63.4470,32.3
1148.98,63.4472,32.3
1151.98,63.4476,32.3
1154.98,63.4473,32.3
1157.98,63.4465,32.3
1160.98,63.4465,32.3
1163.98,63.4451,32.3
1166.98,63.4448,32.3
1169.98,63.4440,32.3
1172.98,63.4455,32.3
1175.98,63.4447,32.3
1178.98,63.4434,32.3
1181.98,63.4421,32.3
1184.98,63.4414,32.3
1187.98,63.4398,32.3
1190.98,63.4392,32.3
1193.98,63.4396,32.3
1196.98,63.4393,32.3
1199.98,63.4404,32.3
1203.04,63.4402,32.3
1205.98,63.4401,32.3
1208.98,63.4410,32.3
1211.98,63.4423,32.3
1214.98,63.4414,32.3
1217.98,63.4406,32.3
1220.98,63.4414,32.3
1223.98,63.4403,32.3
1226.98,63.9939,32.3
1229.98,64.0899,32.3
1232.98,64.0828,32.3
1235.98,64.0751,32.3
1238.98,64.0721,32.3
1241.98,64.0691,32.3
1244.98,64.0657,32.3
1247.98,64.0630,32.3
1250.98,64.0652,32.3
1253.98,64.0645,32.3
1256.98,64.0645,32.3
1259.98,64.0637,32.3
1262.98,64.0597,32.3
1265.98,64.0560,32.3
1268.98,64.0550,32.3
1271.98,64.0539,32.3
1274.98,64.0542,32.3
1277.98,64.0566,32.3
1280.98,63.6827,32.3
1283.98,63.6936,32.3
1286.98,63.7370,32.3
1289.98,64.1180,32.3
1292.98,64.8267,32.3
1295.98,65.4959,32.3
1298.98,66.0100,32.3
1301.98,66.2800,32.3
1304.98,66.5384,32.3
1307.98,66.7049,32.3
1310.98,66.9330,32.3
1313.98,67.0237,32.3
1316.98,67.0584,32.3
1319.98,67.0240,32.3
1322.98,66.9987,32.3
1325.98,66.9785,32.3
1328.98,67.0633,32.3
1331.98,67.0451,32.3
1334.98,67.0307,32.3
1337.98,67.0182,32.3
1340.98,67.0079,32.3
1343.98,66.9996,32.3
1346.98,66.9918,32.3
1349.98,66.9855,32.3
1352.98,66.9801,32.3
1355.98,66.9766,32.3
1358.98,66.9725,32.3
1361.98,66.9691,32.3
1364.98,66.9975,32.3
1367.99,66.9910,32.3
1370.98,66.9865,32.3
1373.98,66.9834,32.3
1376.99,66.9800,32.3
1379.99,66.9772,32.3
1382.99,67.2221,32.3
1385.98,67.3202,32.3
1388.98,67.3048,32.3
1391.98,67.2980,32.3
1394.98,67.2927,32.3
1397.99,67.2919,32.3
1400.98,67.2902,32.3
1403.98,67.2891,32.3
1406.99,67.2888,32.3
1409.98,67.2870,32.3
1412.98,67.2827,32.3
1415.99,67.2792,32.3
1418.98,67.2778,32.3
1421.98,67.2748,32.3
1424.98,67.2750,32.3
1427.98,67.3624,32.3
1430.98,67.3544,32.3
1433.98,69.7386,32.3
1436.98,72.5076,32.3
1439.98,74.6120,32.3
1442.98,74.3127,32.3
1445.98,72.0292,32.3
1448.98,71.4823,32.3
1451.98,70.3526,32.3
1454.98,67.5247,32.3
1457.98,67.1892,32.3
1460.98,67.2361,32.3
1463.98,67.2437,32.3
1466.98,66.4192,32.3
1469.98,64.4149,32.3
1472.98,63.9350,32.3
1475.98,62.6117,32.3
1478.98,62.7668,32.3
1481.99,62.8511,32.3
1484.98,62.9081,32.3
1487.98,63.3362,32.3
1490.99,64.0553,32.3
1493.99,64.0109,32.3
1496.98,64.0691,32.3
1499.98,64.3632,32.3
1502.98,64.3435,32.3
1505.98,64.3370,32.3
1508.98,64.0316,32.3
1511.99,64.0754,32.3
1514.99,65.0314,32.3
1517.99,65.3993,32.3
1520.99,66.0279,32.3
1523.98,66.1852,32.3
1526.99,66.1409,32.3
1529.99,66.1088,32.3
1532.98,66.0848,32.3
1535.98,66.1381,32.3
1538.99,66.1139,32.3
1541.98,66.4137,32.3
1544.98,66.3959,32.3
1547.98,66.3902,32.3
1550.98,66.3877,32.3
1553.98,66.0232,32.3
1556.98,66.3128,32.3
1559.98,66.0993,32.3
1562.98,66.3664,32.3
1565.98,66.7828,32.3
1568.98,68.0143,32.3
1571.98,67.9317,32.3
1574.98,67.8870,32.3
1577.98,67.8552,32.3
1580.98,67.3664,32.3
1583.98,67.3769,32.3
1586.98,67.8623,32.3
1589.98,67.8003,32.3
1592.98,67.7891,32.3
1595.98,67.7857,32.3
1598.98,67.7826,32.3
1601.98,67.7796,32.3
1604.98,67.7787,32.3
1607.98,67.7775,32.3
1610.98,67.7766,32.3
1613.98,67.7749,32.3
1616.98,67.7737,32.3
1619.98,67.7731,32.3
1622.98,67.7720,32.3
1625.98,67.7709,32.3
1628.98,67.7699,32.3
1631.98,67.7693,32.3
1634.98,67.7692,32.3
1637.98,67.7681,32.3
1640.98,67.7676,32.3
1643.98,67.7664,32.3
1646.98,67.7667,32.3
1649.98,67.7655,32.3
1652.98,67.7644,32.3
1655.98,67.7645,32.3
1658.98,67.7629,32.3
1661.98,67.7627,32.3
1664.98,67.7618,32.3
1667.98,67.7607,32.3
1670.98,67.7606,32.3
1673.98,67.7599,32.3
1676.98,67.7592,32.3
1679.98,67.7579,32.3
1682.98,67.7572,32.3
1685.98,67.7563,32.3
1688.98,67.7549,32.3
1691.98,67.7532,32.3
1694.98,67.7514,32.3
1697.98,67.7498,32.3
1700.98,67.7484,32.3
1703.98,67.7464,32.3
1706.98,67.7458,32.3
1709.98,67.7438,32.3
1712.98,67.7419,32.3
1715.98,67.7417,32.3
1718.98,67.7400,32.3
1721.98,67.7382,32.3
1724.99,67.7363,32.3
1727.98,67.7356,32.3
1730.99,67.7343,32.3
1733.98,67.7330,32.3
1736.98,67.7318,32.3
1739.98,67.7297,32.3
1742.98,67.7276,32.3
1745.98,67.7256,32.3
1748.98,67.7232,32.3
1751.98,67.7213,32.3
1754.98,67.7192,32.3
1757.98,67.7170,32.3
1760.98,67.7148,32.3
1763.98,67.7122,32.3
1766.98,67.7100,32.3
1769.98,67.7079,32.3
1772.98,67.7053,32.3
1775.98,67.7038,32.3
1778.98,67.7016,32.3
1781.98,67.6989,32.3
1784.98,67.6973,32.3
1787.98,67.6952,32.3
1790.98,67.6940,32.3
1793.98,67.6931,32.3
1796.98,67.6919,32.3
1799.98,67.6899,32.3
1802.98,67.6894,32.3
1805.98,67.6895,32.3
1808.98,67.6898,32.3
1811.98,67.6893,32.3
1814.98,67.6888,32.3
1817.98,67.6886,32.3
1820.98,67.6874,32.3
