X-Axis	MS13_2_MI1_H2O
 8.179605532E+02	 2.355899902E+03
 8.225417664E+02	 2.459300049E+03
 8.271206175E+02	 2.564300049E+03
 8.316971078E+02	 2.569600098E+03
 8.362712385E+02	 2.455399902E+03
 8.408430111E+02	 2.400100098E+03
 8.454124266E+02	 2.404500000E+03
 8.499794864E+02	 2.487199951E+03
 8.545441919E+02	 2.671699951E+03
 8.591065442E+02	 2.875600098E+03
 8.636665448E+02	 2.898699951E+03
 8.682241949E+02	 2.709899902E+03
 8.727794957E+02	 2.570600098E+03
 8.773324487E+02	 2.510600098E+03
 8.818830551E+02	 2.509199951E+03
 8.864313162E+02	 2.521899902E+03
 8.909772334E+02	 2.536399902E+03
 8.955208079E+02	 2.560899902E+03
 9.000620411E+02	 2.587199951E+03
 9.046009344E+02	 2.596500000E+03
 9.091374889E+02	 2.628100098E+03
 9.136717061E+02	 2.660199951E+03
 9.182035873E+02	 2.724500000E+03
 9.227331339E+02	 2.775100098E+03
 9.272603471E+02	 2.796699951E+03
 9.317852282E+02	 2.799500000E+03
 9.363077788E+02	 2.818100098E+03
 9.408280000E+02	 2.807000000E+03
 9.453458932E+02	 2.868399902E+03
 9.498614598E+02	 2.875800049E+03
 9.543747012E+02	 2.918899902E+03
 9.588856186E+02	 2.943500000E+03
 9.633942135E+02	 2.999199951E+03
 9.679004872E+02	 3.014600098E+03
 9.724044410E+02	 2.998699951E+03
 9.769060763E+02	 2.999500000E+03
 9.814053946E+02	 2.987300049E+03
 9.859023970E+02	 3.006000000E+03
 9.903970852E+02	 2.998300049E+03
 9.948894603E+02	 2.998000000E+03
 9.993795238E+02	 3.030600098E+03
 1.003867277E+03	 3.003800049E+03
 1.008352721E+03	 3.015100098E+03
 1.012835858E+03	 2.967000000E+03
 1.017316689E+03	 2.952000000E+03
 1.021795215E+03	 2.923800049E+03
 1.026271438E+03	 2.917899902E+03
 1.030745358E+03	 2.856699951E+03
 1.035216979E+03	 2.851100098E+03
 1.039686300E+03	 2.799699951E+03
 1.044153323E+03	 2.751300049E+03
 1.048618050E+03	 2.705600098E+03
 1.053080482E+03	 2.657199951E+03
 1.057540620E+03	 2.598199951E+03
 1.061998466E+03	 2.572800049E+03
 1.066454022E+03	 2.516899902E+03
 1.070907288E+03	 2.475500000E+03
 1.075358266E+03	 2.413000000E+03
 1.079806958E+03	 2.374699951E+03
 1.084253364E+03	 2.312199951E+03
 1.088697487E+03	 2.286300049E+03
 1.093139327E+03	 2.242899902E+03
 1.097578887E+03	 2.180600098E+03
 1.102016167E+03	 2.146500000E+03
 1.106451169E+03	 2.104300049E+03
 1.110883895E+03	 2.063600098E+03
 1.115314345E+03	 2.016800049E+03
 1.119742522E+03	 1.996199951E+03
 1.124168426E+03	 1.976900024E+03
 1.128592060E+03	 1.934400024E+03
 1.133013424E+03	 1.906599976E+03
 1.137432520E+03	 1.901099976E+03
 1.141849349E+03	 1.860900024E+03
 1.146263913E+03	 1.843300049E+03
 1.150676214E+03	 1.818800049E+03
 1.155086252E+03	 1.808900024E+03
 1.159494029E+03	 1.784500000E+03
 1.163899547E+03	 1.745199951E+03
 1.168302807E+03	 1.727199951E+03
 1.172703810E+03	 1.720199951E+03
 1.177102559E+03	 1.702000000E+03
 1.181499054E+03	 1.679400024E+03
 1.185893296E+03	 1.667699951E+03
 1.190285288E+03	 1.633000000E+03
 1.194675031E+03	 1.622300049E+03
 1.199062526E+03	 1.609300049E+03
 1.203447774E+03	 1.603099976E+03
 1.207830778E+03	 1.591099976E+03
 1.212211538E+03	 1.556300049E+03
 1.216590056E+03	 1.572599976E+03
 1.220966334E+03	 1.552000000E+03
 1.225340372E+03	 1.544699951E+03
 1.229712173E+03	 1.530400024E+03
 1.234081738E+03	 1.525800049E+03
 1.238449069E+03	 1.525699951E+03
 1.242814166E+03	 1.507800049E+03
 1.247177031E+03	 1.512599976E+03
 1.251537666E+03	 1.516400024E+03
 1.255896072E+03	 1.508099976E+03
 1.260252251E+03	 1.499400024E+03
 1.264606204E+03	 1.507099976E+03
 1.268957932E+03	 1.491400024E+03
 1.273307438E+03	 1.503400024E+03
 1.277654722E+03	 1.505400024E+03
