X-Axis	CC9_MI1_H2O_50X
 1.026271438E+03	 2.707199951E+03
 1.030745358E+03	 2.653000000E+03
 1.035216979E+03	 2.635000000E+03
 1.039686300E+03	 2.588199951E+03
 1.044153323E+03	 2.997199951E+03
 1.048618050E+03	 2.872699951E+03
 1.053080482E+03	 2.473699951E+03
 1.057540620E+03	 2.435800049E+03
 1.061998466E+03	 2.380600098E+03
 1.066454022E+03	 2.342800049E+03
 1.070907288E+03	 2.314399902E+03
 1.075358266E+03	 2.262699951E+03
 1.079806958E+03	 2.222500000E+03
 1.084253364E+03	 2.194500000E+03
 1.088697487E+03	 2.148300049E+03
 1.093139327E+03	 2.128399902E+03
 1.097578887E+03	 2.081899902E+03
 1.102016167E+03	 2.038900024E+03
 1.106451169E+03	 2.008800049E+03
 1.110883895E+03	 1.973099976E+03
 1.115314345E+03	 1.943599976E+03
 1.119742522E+03	 1.911500000E+03
 1.124168426E+03	 1.893599976E+03
 1.128592060E+03	 1.860800049E+03
 1.133013424E+03	 1.844699951E+03
 1.137432520E+03	 1.821800049E+03
 1.141849349E+03	 1.803900024E+03
 1.146263913E+03	 1.775000000E+03
 1.150676214E+03	 1.768400024E+03
 1.155086252E+03	 1.738400024E+03
 1.159494029E+03	 1.710300049E+03
 1.163899547E+03	 1.698599976E+03
 1.168302807E+03	 1.664000000E+03
 1.172703810E+03	 1.646099976E+03
 1.177102559E+03	 1.623599976E+03
 1.181499054E+03	 1.617400024E+03
 1.185893296E+03	 1.587300049E+03
 1.190285288E+03	 1.569900024E+03
 1.194675031E+03	 1.543900024E+03
 1.199062526E+03	 1.549699951E+03
 1.203447774E+03	 1.527500000E+03
 1.207830778E+03	 1.508400024E+03
 1.212211538E+03	 1.499300049E+03
 1.216590056E+03	 1.492800049E+03
 1.220966334E+03	 1.476800049E+03
 1.225340372E+03	 1.472500000E+03
 1.229712173E+03	 1.482599976E+03
 1.234081738E+03	 1.461900024E+03
 1.238449069E+03	 1.458099976E+03
 1.242814166E+03	 1.451599976E+03
 1.247177031E+03	 1.444400024E+03
 1.251537666E+03	 1.456400024E+03
 1.255896072E+03	 1.446699951E+03
 1.260252251E+03	 1.445599976E+03
 1.264606204E+03	 1.440099976E+03
 1.268957932E+03	 1.441800049E+03
 1.273307438E+03	 1.430699951E+03
 1.277654722E+03	 1.438500000E+03
 1.281999787E+03	 1.434800049E+03
 1.286342633E+03	 1.421400024E+03
 1.290683261E+03	 1.422599976E+03
 1.295021675E+03	 1.425599976E+03
 1.299357874E+03	 1.437500000E+03
 1.303691861E+03	 1.417599976E+03
 1.308023636E+03	 1.433099976E+03
 1.312353202E+03	 1.447199951E+03
 1.316680560E+03	 1.420500000E+03
 1.321005711E+03	 1.423599976E+03
 1.325328657E+03	 1.427199951E+03
 1.329649400E+03	 1.425699951E+03
 1.333967940E+03	 1.418500000E+03
 1.338284279E+03	 1.420300049E+03
 1.342598420E+03	 1.425800049E+03
 1.346910362E+03	 1.419400024E+03
 1.351220109E+03	 1.418099976E+03
 1.355527660E+03	 1.419300049E+03
 1.359833018E+03	 1.420900024E+03
 1.364136185E+03	 1.410599976E+03
 1.368437161E+03	 1.411500000E+03
 1.372735949E+03	 1.409099976E+03
 1.377032549E+03	 1.412599976E+03
 1.381326964E+03	 1.416900024E+03
 1.385619194E+03	 1.424400024E+03
 1.389909241E+03	 1.408300049E+03
 1.394197107E+03	 1.419599976E+03
 1.398482793E+03	 1.419400024E+03
 1.402766301E+03	 1.419900024E+03
 1.407047632E+03	 1.412699951E+03
 1.411326788E+03	 1.415699951E+03
 1.415603770E+03	 1.419400024E+03
 1.419878580E+03	 1.417699951E+03
 1.424151219E+03	 1.430099976E+03
 1.428421688E+03	 1.428800049E+03
 1.432689990E+03	 1.427099976E+03
 1.436956126E+03	 1.430199951E+03
 1.441220096E+03	 1.429699951E+03
 1.445481903E+03	 1.434199951E+03
 1.449741549E+03	 1.429400024E+03
 1.453999034E+03	 1.433000000E+03
 1.458254360E+03	 1.426300049E+03
 1.462507529E+03	 1.438900024E+03
 1.466758543E+03	 1.433800049E+03
 1.471007402E+03	 1.425900024E+03
 1.475254108E+03	 1.430800049E+03
 1.479498663E+03	 1.433599976E+03
 1.483741068E+03	 1.430599976E+03
 1.487981325E+03	 1.420800049E+03
 1.492219435E+03	 1.441400024E+03
 1.496455400E+03	 1.421199951E+03
 1.500689221E+03	 1.416699951E+03
 1.504920900E+03	 1.430400024E+03
 1.509150438E+03	 1.425500000E+03
 1.513377836E+03	 1.408599976E+03
 1.517603098E+03	 1.422400024E+03
 1.521826222E+03	 1.409900024E+03
 1.526047213E+03	 1.429800049E+03
 1.530266070E+03	 1.417099976E+03
 1.534482795E+03	 1.421000000E+03
 1.538697390E+03	 1.414199951E+03
 1.542909856E+03	 1.410699951E+03
 1.547120196E+03	 1.411800049E+03
 1.551328409E+03	 1.400099976E+03
 1.555534499E+03	 1.403599976E+03
 1.559738465E+03	 1.412900024E+03
 1.563940311E+03	 1.401900024E+03
 1.568140037E+03	 1.406400024E+03
 1.572337645E+03	 1.409500000E+03
 1.576533136E+03	 1.414199951E+03
 1.580726512E+03	 1.404199951E+03
 1.584917774E+03	 1.407599976E+03
 1.589106925E+03	 1.404500000E+03
 1.593293965E+03	 1.401699951E+03
 1.597478896E+03	 1.405599976E+03
 1.601661719E+03	 1.411800049E+03
 1.605842436E+03	 1.403900024E+03
 1.610021048E+03	 1.409699951E+03
 1.614197558E+03	 1.410800049E+03
 1.618371966E+03	 1.405800049E+03
 1.622544274E+03	 1.407800049E+03
 1.626714484E+03	 1.407800049E+03
 1.630882596E+03	 1.401599976E+03
 1.635048613E+03	 1.406900024E+03
 1.639212536E+03	 1.400199951E+03
 1.643374367E+03	 1.410599976E+03
 1.647534106E+03	 1.402500000E+03
 1.651691756E+03	 1.397400024E+03
 1.655847318E+03	 1.402900024E+03
 1.660000794E+03	 1.398099976E+03
 1.664152185E+03	 1.392300049E+03
 1.668301492E+03	 1.385500000E+03
 1.672448717E+03	 1.384800049E+03
 1.676593862E+03	 1.391000000E+03
 1.680736928E+03	 1.388099976E+03
 1.684877916E+03	 1.387300049E+03
 1.689016829E+03	 1.375199951E+03
 1.693153667E+03	 1.394699951E+03
 1.697288433E+03	 1.384800049E+03
 1.701421127E+03	 1.388199951E+03
 1.705551751E+03	 1.383599976E+03
 1.709680306E+03	 1.381199951E+03
 1.713806795E+03	 1.384699951E+03
 1.717931218E+03	 1.378199951E+03
 1.722053578E+03	 1.381800049E+03
 1.726173875E+03	 1.391099976E+03
 1.730292111E+03	 1.378800049E+03
 1.734408288E+03	 1.378199951E+03
 1.738522407E+03	 1.378199951E+03
 1.742634469E+03	 1.374500000E+03
 1.746744477E+03	 1.373099976E+03
 1.750852431E+03	 1.375599976E+03
 1.754958334E+03	 1.372500000E+03
 1.759062186E+03	 1.366599976E+03
 1.763163989E+03	 1.362099976E+03
 1.767263745E+03	 1.364000000E+03
 1.771361455E+03	 1.366199951E+03
 1.775457121E+03	 1.375000000E+03
 1.779550743E+03	 1.367099976E+03
 1.783642325E+03	 1.364099976E+03
 1.787731866E+03	 1.369400024E+03
 1.791819369E+03	 1.364599976E+03
 1.795904835E+03	 1.359599976E+03
 1.799988266E+03	 1.371500000E+03
 1.804069663E+03	 1.365099976E+03
 1.808149027E+03	 1.362699951E+03
 1.812226361E+03	 1.368400024E+03
 1.816301665E+03	 1.370099976E+03
 1.820374941E+03	 1.356599976E+03
 1.824446190E+03	 1.352599976E+03
 1.828515415E+03	 1.351300049E+03
 1.832582616E+03	 1.358599976E+03
 1.836647796E+03	 1.351199951E+03
 1.840710954E+03	 1.361000000E+03
 1.844772094E+03	 1.362900024E+03
 1.848831216E+03	 1.353800049E+03
 1.852888323E+03	 1.346900024E+03
 1.856943414E+03	 1.352900024E+03
 1.860996493E+03	 1.357099976E+03
 1.865047560E+03	 1.348000000E+03
 1.869096617E+03	 1.358699951E+03
 1.873143665E+03	 1.351199951E+03
 1.877188707E+03	 1.355000000E+03
 1.881231742E+03	 1.356500000E+03
 1.885272774E+03	 1.350599976E+03
 1.889311803E+03	 1.355199951E+03
 1.893348830E+03	 1.347099976E+03
 1.897383858E+03	 1.346300049E+03
 1.901416888E+03	 1.365699951E+03
 1.905447921E+03	 1.350900024E+03
 1.909476959E+03	 1.350199951E+03
 1.913504003E+03	 1.354000000E+03
 1.917529054E+03	 1.356900024E+03
 1.921552115E+03	 1.344900024E+03
 1.925573187E+03	 1.352199951E+03
 1.929592270E+03	 1.347900024E+03
 1.933609367E+03	 1.354300049E+03
 1.937624479E+03	 1.344599976E+03
 1.941637608E+03	 1.337599976E+03
 1.945648755E+03	 1.351300049E+03
 1.949657921E+03	 1.348400024E+03
 1.953665108E+03	 1.347000000E+03
 1.957670317E+03	 1.354599976E+03
 1.961673551E+03	 1.345900024E+03
 1.965674810E+03	 1.345400024E+03
 1.969674095E+03	 1.342699951E+03
 1.973671409E+03	 1.355699951E+03
 1.977666753E+03	 1.357400024E+03
 1.981660127E+03	 1.342599976E+03
 1.985651535E+03	 1.362500000E+03
 1.989640976E+03	 1.358800049E+03
 1.993628453E+03	 1.357500000E+03
 1.997613968E+03	 1.351599976E+03
 2.001597520E+03	 1.357099976E+03
 2.005579113E+03	 1.357300049E+03
 2.009558747E+03	 1.359800049E+03
 2.013536424E+03	 1.355000000E+03
 2.017512146E+03	 1.356199951E+03
 2.021485913E+03	 1.363699951E+03
 2.025457727E+03	 1.358500000E+03
 2.029427590E+03	 1.354800049E+03
 2.033395504E+03	 1.352500000E+03
 2.037361469E+03	 1.356099976E+03
 2.041325487E+03	 1.362300049E+03
 2.045287559E+03	 1.350300049E+03
 2.049247687E+03	 1.347500000E+03
 2.053205873E+03	 1.343900024E+03
 2.057162118E+03	 1.355500000E+03
 2.061116423E+03	 1.346099976E+03
 2.065068790E+03	 1.340500000E+03
 2.069019220E+03	 1.347199951E+03
 2.072967714E+03	 1.345099976E+03
 2.076914275E+03	 1.348599976E+03
 2.080858903E+03	 1.347000000E+03
 2.084801600E+03	 1.347400024E+03
 2.088742368E+03	 1.352500000E+03
 2.092681207E+03	 1.349500000E+03
 2.096618120E+03	 1.339199951E+03
 2.100553107E+03	 1.338400024E+03
 2.104486171E+03	 1.350500000E+03
 2.108417312E+03	 1.352400024E+03
 2.112346532E+03	 1.343300049E+03
 2.116273832E+03	 1.340000000E+03
 2.120199215E+03	 1.342099976E+03
 2.124122681E+03	 1.344400024E+03
 2.128044231E+03	 1.335900024E+03
 2.131963868E+03	 1.344599976E+03
 2.135881592E+03	 1.333099976E+03
 2.139797405E+03	 1.335199951E+03
 2.143711309E+03	 1.332400024E+03
 2.147623305E+03	 1.326800049E+03
 2.151533393E+03	 1.335400024E+03
 2.155441577E+03	 1.332099976E+03
 2.159347857E+03	 1.326599976E+03
 2.163252234E+03	 1.331900024E+03
 2.167154710E+03	 1.329000000E+03
 2.171055287E+03	 1.329400024E+03
 2.174953965E+03	 1.334400024E+03
 2.178850747E+03	 1.337500000E+03
 2.182745633E+03	 1.337500000E+03
 2.186638626E+03	 1.330500000E+03
 2.190529726E+03	 1.321599976E+03
 2.194418934E+03	 1.326099976E+03
 2.198306253E+03	 1.328000000E+03
 2.202191684E+03	 1.326500000E+03
 2.206075228E+03	 1.325199951E+03
 2.209956886E+03	 1.329800049E+03
 2.213836660E+03	 1.329599976E+03
 2.217714552E+03	 1.318099976E+03
 2.221590562E+03	 1.330900024E+03
 2.225464692E+03	 1.324900024E+03
 2.229336944E+03	 1.320900024E+03
 2.233207319E+03	 1.319900024E+03
 2.237075818E+03	 1.317000000E+03
 2.240942443E+03	 1.320900024E+03
 2.244807195E+03	 1.317300049E+03
 2.248670076E+03	 1.321300049E+03
 2.252531086E+03	 1.318900024E+03
 2.256390228E+03	 1.321300049E+03
 2.260247502E+03	 1.317000000E+03
 2.264102911E+03	 1.330099976E+03
 2.267956455E+03	 1.308400024E+03
 2.271808136E+03	 1.317800049E+03
 2.275657955E+03	 1.324099976E+03
 2.279505914E+03	 1.324000000E+03
 2.283352013E+03	 1.315500000E+03
 2.287196256E+03	 1.321599976E+03
 2.291038642E+03	 1.319300049E+03
 2.294879173E+03	 1.324800049E+03
 2.298717851E+03	 1.315199951E+03
 2.302554676E+03	 1.327900024E+03
 2.306389651E+03	 1.312900024E+03
 2.310222777E+03	 1.315099976E+03
 2.314054054E+03	 1.343000000E+03
 2.317883486E+03	 1.342599976E+03
 2.321711072E+03	 1.307800049E+03
 2.325536814E+03	 1.320500000E+03
 2.329360713E+03	 1.322099976E+03
 2.333182772E+03	 1.320500000E+03
 2.337002991E+03	 1.316500000E+03
 2.340821371E+03	 1.313400024E+03
 2.344637915E+03	 1.311699951E+03
 2.348452623E+03	 1.308500000E+03
 2.352265497E+03	 1.315400024E+03
 2.356076538E+03	 1.316099976E+03
 2.359885747E+03	 1.309400024E+03
 2.363693126E+03	 1.302199951E+03
 2.367498676E+03	 1.310099976E+03
 2.371302399E+03	 1.308900024E+03
 2.375104296E+03	 1.312699951E+03
 2.378904368E+03	 1.305800049E+03
 2.382702617E+03	 1.295699951E+03
 2.386499044E+03	 1.312900024E+03
 2.390293650E+03	 1.308199951E+03
 2.394086436E+03	 1.308699951E+03
 2.397877405E+03	 1.304400024E+03
 2.401666557E+03	 1.304099976E+03
 2.405453894E+03	 1.294400024E+03
 2.409239416E+03	 1.303500000E+03
 2.413023127E+03	 1.310699951E+03
 2.416805026E+03	 1.306199951E+03
 2.420585115E+03	 1.324099976E+03
 2.424363395E+03	 1.309900024E+03
 2.428139868E+03	 1.295000000E+03
 2.431914536E+03	 1.300099976E+03
 2.435687399E+03	 1.297300049E+03
 2.439458458E+03	 1.302300049E+03
 2.443227716E+03	 1.299400024E+03
 2.446995173E+03	 1.292500000E+03
 2.450760831E+03	 1.308199951E+03
 2.454524691E+03	 1.295900024E+03
 2.458286754E+03	 1.295599976E+03
 2.462047022E+03	 1.298199951E+03
 2.465805497E+03	 1.293800049E+03
 2.469562178E+03	 1.302699951E+03
 2.473317069E+03	 1.295199951E+03
 2.477070169E+03	 1.296199951E+03
 2.480821481E+03	 1.292000000E+03
 2.484571005E+03	 1.293099976E+03
 2.488318744E+03	 1.290099976E+03
 2.492064698E+03	 1.283500000E+03
 2.495808868E+03	 1.290900024E+03
 2.499551257E+03	 1.298500000E+03
 2.503291865E+03	 1.298599976E+03
 2.507030693E+03	 1.292099976E+03
 2.510767743E+03	 1.298699951E+03
 2.514503017E+03	 1.287900024E+03
 2.518236515E+03	 1.301699951E+03
 2.521968239E+03	 1.294099976E+03
 2.525698189E+03	 1.298500000E+03
 2.529426369E+03	 1.301099976E+03
 2.533152778E+03	 1.290500000E+03
 2.536877418E+03	 1.295900024E+03
 2.540600291E+03	 1.284900024E+03
 2.544321397E+03	 1.297699951E+03
 2.548040738E+03	 1.296800049E+03
 2.551758315E+03	 1.289400024E+03
 2.555474130E+03	 1.293500000E+03
 2.559188184E+03	 1.282800049E+03
 2.562900478E+03	 1.295199951E+03
 2.566611013E+03	 1.284400024E+03
 2.570319791E+03	 1.291699951E+03
 2.574026813E+03	 1.282199951E+03
 2.577732080E+03	 1.291900024E+03
 2.581435594E+03	 1.284000000E+03
 2.585137355E+03	 1.288099976E+03
 2.588837366E+03	 1.280699951E+03
 2.592535627E+03	 1.278000000E+03
 2.596232140E+03	 1.282000000E+03
 2.599926906E+03	 1.281000000E+03
 2.603619926E+03	 1.279199951E+03
 2.607311201E+03	 1.284300049E+03
 2.611000734E+03	 1.283000000E+03
 2.614688524E+03	 1.290800049E+03
 2.618374574E+03	 1.278699951E+03
 2.622058885E+03	 1.286699951E+03
 2.625741457E+03	 1.279900024E+03
 2.629422293E+03	 1.289199951E+03
 2.633101393E+03	 1.284300049E+03
 2.636778759E+03	 1.282000000E+03
 2.640454391E+03	 1.284599976E+03
 2.644128292E+03	 1.288500000E+03
 2.647800463E+03	 1.293000000E+03
 2.651470904E+03	 1.284000000E+03
 2.655139617E+03	 1.273900024E+03
 2.658806604E+03	 1.285699951E+03
 2.662471865E+03	 1.276800049E+03
 2.666135402E+03	 1.282099976E+03
 2.669797216E+03	 1.278099976E+03
 2.673457308E+03	 1.276400024E+03
 2.677115680E+03	 1.275099976E+03
 2.680772333E+03	 1.273000000E+03
 2.684427267E+03	 1.283199951E+03
 2.688080485E+03	 1.272199951E+03
 2.691731988E+03	 1.284199951E+03
 2.695381776E+03	 1.273599976E+03
 2.699029852E+03	 1.279800049E+03
 2.702676216E+03	 1.272500000E+03
 2.706320869E+03	 1.280099976E+03
 2.709963813E+03	 1.274400024E+03
 2.713605049E+03	 1.277099976E+03
 2.717244579E+03	 1.272000000E+03
 2.720882403E+03	 1.276300049E+03
 2.724518522E+03	 1.283599976E+03
 2.728152939E+03	 1.280599976E+03
 2.731785654E+03	 1.279599976E+03
 2.735416668E+03	 1.281000000E+03
 2.739045983E+03	 1.282599976E+03
 2.742673600E+03	 1.274699951E+03
 2.746299520E+03	 1.281699951E+03
 2.749923744E+03	 1.274400024E+03
 2.753546274E+03	 1.274400024E+03
 2.757167111E+03	 1.273500000E+03
 2.760786255E+03	 1.276699951E+03
 2.764403710E+03	 1.274000000E+03
 2.768019474E+03	 1.278699951E+03
 2.771633550E+03	 1.280900024E+03
 2.775245939E+03	 1.270900024E+03
 2.778856643E+03	 1.269500000E+03
 2.782465661E+03	 1.276000000E+03
 2.786072997E+03	 1.278199951E+03
 2.789678650E+03	 1.267300049E+03
 2.793282621E+03	 1.280099976E+03
 2.796884914E+03	 1.268199951E+03
 2.800485527E+03	 1.265500000E+03
 2.804084464E+03	 1.267500000E+03
 2.807681724E+03	 1.254699951E+03
 2.811277309E+03	 1.267699951E+03
 2.814871220E+03	 1.267300049E+03
 2.818463459E+03	 1.263900024E+03
 2.822054026E+03	 1.262900024E+03
 2.825642924E+03	 1.263300049E+03
 2.829230152E+03	 1.269000000E+03
 2.832815713E+03	 1.276099976E+03
 2.836399607E+03	 1.266800049E+03
 2.839981835E+03	 1.266800049E+03
 2.843562400E+03	 1.273199951E+03
 2.847141301E+03	 1.277900024E+03
 2.850718541E+03	 1.275699951E+03
 2.854294120E+03	 1.277500000E+03
 2.857868040E+03	 1.292900024E+03
 2.861440302E+03	 1.286300049E+03
 2.865010906E+03	 1.282900024E+03
 2.868579855E+03	 1.284500000E+03
 2.872147149E+03	 1.290699951E+03
 2.875712790E+03	 1.295900024E+03
 2.879276779E+03	 1.290699951E+03
 2.882839116E+03	 1.289699951E+03
 2.886399803E+03	 1.289599976E+03
 2.889958842E+03	 1.300599976E+03
 2.893516233E+03	 1.291800049E+03
 2.897071978E+03	 1.291000000E+03
 2.900626077E+03	 1.294699951E+03
 2.904178533E+03	 1.282900024E+03
 2.907729346E+03	 1.291099976E+03
 2.911278517E+03	 1.292599976E+03
 2.914826047E+03	 1.285800049E+03
 2.918371938E+03	 1.287699951E+03
 2.921916191E+03	 1.293699951E+03
 2.925458807E+03	 1.289800049E+03
 2.928999787E+03	 1.288800049E+03
 2.932539133E+03	 1.292099976E+03
 2.936076845E+03	 1.289400024E+03
 2.939612924E+03	 1.286400024E+03
 2.943147373E+03	 1.289500000E+03
 2.946680191E+03	 1.280199951E+03
 2.950211381E+03	 1.284500000E+03
 2.953740943E+03	 1.282300049E+03
 2.957268878E+03	 1.294900024E+03
 2.960795188E+03	 1.284800049E+03
 2.964319874E+03	 1.274500000E+03
 2.967842936E+03	 1.269900024E+03
